Symbol,Company Name
BTC-USD,Bitcoin USD
ETH-USD,Ethereum USD
USDT-USD,Tether USD
BNB-USD,BNB USD
USDC-USD,USD Coin USD
XRP-USD,XRP USD
HEX-USD,HEX USD
ADA-USD,Cardano USD
MATIC-USD,-
DOGE-USD,Dogecoin USD
BUSD-USD,Binance USD USD
SOL-USD,Solana USD
DOT-USD,Polkadot USD
WTRX-USD,Wrapped TRON USD
DAI-USD,Dai USD
SHIB-USD,Shiba Inu USD
TRX-USD,TRON USD
LTC-USD,-
STETH-USD,Lido Staked ETH USD
AVAX-USD,Avalanche USD
UNI7083-USD,Uniswap USD
WBTC-USD,Wrapped Bitcoin USD
ATOM-USD,Cosmos USD
LINK-USD,-
LEO-USD,-
TON11419-USD,Toncoin USD
OKB-USD,OKB USD
ETC-USD,Ethereum Classic USD
XMR-USD,Monero USD
FIL-USD,Filecoin USD
,
,
,